Industry,Country,Year,Attack_Type,Data_Type,Records_Compromised,Employee_Count,Security_Budget_Million_USD,Financial_Impact_Million_USD,Recovery_Time_Days,Incident_Severity,Baseline_Industry_Cost_Million_USD,Per_Record_Cost_USD,Estimated_Financial_Impact_Million_USD
Banking,India,2018.0,Phishing,pii_customer,479516.38,8851,12.5,70.6772,18,1.0,4.219,100.0,96.23
Banking,USA,2018.0,Phishing,pii_customer,337993.14,8658,11.9,63.8212,47,4.0,4.246,100.0,92.03
Banking,USA,2018.0,Phishing,pii_customer,858424.28,22909,2.1,74.4835,5,1.0,4.241,100.0,66.19
Banking,China,2021.0,Phishing,pii_customer,871074.35,8853,12.1,92.7262,50,4.0,4.218,100.0,97.17
Banking,Brazil,2016.0,Phishing,pii_customer,696945.49,8928,12.4,28.2852,28,3.0,4.21,100.0,94.55
Banking,China,2015.0,Phishing,pii_customer,396447.95,8899,12.1,84.1641,61,4.0,4.216,100.0,70.92
Banking,China,,Phishing,pii_customer,721619.6,9019,12.3,89.2253,28,2.0,4.24,100.0,90.56
Banking,Japan,2017.0,Phishing,pii_customer,825090.04,8603,12.2,88.553,47,4.0,4.211,100.0,94.42
Banking,Japan,2017.0,Phishing,pii_customer,837879.76,9147,12.3,89.3174,72,4.0,4.232,100.0,90.69
Banking,India,2019.0,Phishing,pii_customer,343874.12,2696,2.1,45.8484,20,1.0,4.207,100.0,59.6
Banking,UK,2021.0,Phishing,pii_customer,154307.36,8876,12.4,95.7095,54,4.0,4.223,100.0,91.7
Banking,China,2017.0,Phishing,pii_customer,805189.57,8849,12.1,71.1904,18,2.0,4.231,100.0,93.51
Banking,UK,2019.0,Phishing,pii_customer,740889.48,9097,12.1,19.9344,7,1.0,4.203,100.0,10.58
Banking,Germany,2020.0,Phishing,pii_customer,684510.23,8766,12.3,43.7235,9,1.0,4.228,100.0,89.2
Banking,Brazil,2017.0,Phishing,pii_customer,925824.79,45000,8.8,88.6729,64,4.0,4.236,100.0,78.4
Banking,France,2021.0,Phishing,pii_customer,469081.8,8657,12.3,65.3291,4,4.0,4.237,100.0,38.49
Banking,UK,2017.0,Phishing,pii_customer,683666.42,8941,12.2,42.094,5,1.0,4.223,100.0,62.24
Banking,Australia,2021.0,Phishing,pii_customer,822703.88,8830,12.3,59.2714,40,3.0,4.241,100.0,62.59
Banking,Singapore,2017.0,Phishing,pii_customer,697497.41,9088,12.1,99.016,62,3.0,4.22,100.0,94.9
Banking,France,2018.0,Phishing,pii_customer,363415.18,8880,12.2,14.6506,5,1.0,8.44,,31.27
Banking,Japan,2018.0,Phishing,pii_customer,690746.71,8593,12.1,30.7093,6,1.0,4.229,100.0,33.12
Banking,Germany,2016.0,Phishing,pii_customer,436572.98,8570,12.3,93.63,14,1.0,4.231,100.0,66.74
Banking,USA,2023.0,Phishing,pii_customer,793936.52,9070,12.2,92.6358,30,2.0,4.22,100.0,78.96
Banking,France,2022.0,Phishing,pii_customer,567171.93,9259,12.3,91.4758,56,3.0,4.215,100.0,80.31
Banking,France,2021.0,Phishing,pii_customer,659275.63,8874,12.1,86.6552,21,3.0,4.218,100.0,85.22
Banking,China,2017.0,Phishing,pii_customer,627488.96,8936,12.5,40.2223,9,1.0,4.239,100.0,17.21
Banking,Brazil,2017.0,Phishing,pii_customer,663965.26,8530,12.0,79.6955,67,3.0,4.229,100.0,39.32
Banking,China,2023.0,Phishing,pii_customer,525205.39,8715,12.3,70.9577,22,3.0,4.23,100.0,93.21
Banking,China,2017.0,Phishing,pii_customer,734230.41,8964,12.2,92.3647,50,3.0,4.221,100.0,87.71
Banking,China,2024.0,Phishing,pii_customer,635645.39,8893,12.3,32.9481,49,4.0,4.224,100.0,66.87
Banking,Australia,2017.0,Phishing,pii_customer,437589.59,8446,12.5,67.7222,23,4.0,4.225,100.0,49.41
Banking,USA,2019.0,Phishing,pii_customer,422542.72,3396,8.5,38.5278,7,1.0,4.216,100.0,14.63
Banking,Japan,2021.0,Phishing,pii_customer,825381.36,8567,12.0,58.6299,62,4.0,4.234,100.0,71.74
Banking,Australia,2023.0,Phishing,pii_customer,614540.2,8860,12.1,94.2303,13,3.0,4.219,100.0,92.72
Banking,USA,2017.0,Phishing,pii_customer,427597.58,8792,12.2,86.3137,53,4.0,4.214,100.0,76.77
Banking,USA,2017.0,Phishing,pii_customer,905915.86,8477,12.1,86.0293,33,3.0,4.223,100.0,94.38
Banking,China,2021.0,Phishing,pii_customer,448570.04,8701,12.2,46.3523,10,1.0,4.595,100.0,47.92
Banking,Japan,2019.0,Phishing,pii_customer,181705.85,9162,12.1,94.0072,39,3.0,4.218,100.0,96.68
Banking,Japan,2017.0,Phishing,pii_customer,800811.67,8847,12.2,88.9598,29,3.0,4.229,100.0,91.58
Banking,Japan,2019.0,Phishing,pii_customer,146580.72,9013,12.1,71.3388,23,1.0,4.22,100.0,93.15
Banking,India,2020.0,Phishing,pii_customer,828350.17,9273,12.4,89.3063,32,3.0,4.235,100.0,83.64
Banking,Canada,2020.0,Phishing,Cryptocurrency,493257.14,9601,12.1,98.5035,62,3.0,4.639,100.0,52.84
Banking,Japan,2017.0,Phishing,pii_customer,362856.23,9075,11.9,99.8734,35,4.0,4.228,100.0,94.9
Banking,Japan,2017.0,Phishing,pii_customer,88129.12,8606,12.2,87.4606,44,3.0,4.239,100.0,87.92
Banking,China,2019.0,Phishing,pii_customer,421769.32,8939,12.4,36.5881,6,4.0,4.227,100.0,89.21
Banking,Australia,2018.0,Phishing,pii_customer,784078.43,8575,12.1,88.4212,24,3.0,4.228,100.0,86.43
Banking,Germany,2021.0,Phishing,pii_customer,913802.59,9108,12.2,44.1799,27,1.0,4.222,100.0,74.56
Banking,UK,2019.0,Phishing,pii_customer,549892.08,8871,12.3,22.9605,23,3.0,4.23,100.0,56.15
Banking,Australia,2017.0,Phishing,pii_customer,847910.23,9565,12.2,91.7475,36,3.0,4.218,100.0,99.9
Banking,China,2023.0,Phishing,pii_customer,661464.43,9086,12.3,39.7061,8,1.0,4.225,100.0,81.2
Banking,USA,2016.0,Phishing,pii_customer,808434.81,9021,2.1,59.3301,56,4.0,4.232,100.0,69.96
Banking,China,2022.0,Phishing,pii_customer,390634.39,9085,12.0,70.0122,7,1.0,4.212,100.0,69.19
Banking,France,2021.0,Phishing,pii_customer,723357.6,8927,19.2,33.6532,37,4.0,4.224,100.0,7.49
Banking,India,2021.0,Phishing,pii_customer,803340.74,9023,12.4,65.1137,28,1.0,4.235,100.0,9.85
Banking,Japan,2017.0,Phishing,pii_customer,424384.4,8422,12.3,15.7712,8,1.0,4.221,100.0,15.6
Banking,France,2018.0,Phishing,pii_customer,799320.44,9243,12.2,88.7348,10,1.0,4.207,100.0,59.14
Banking,Germany,2020.0,Phishing,pii_customer,775500.85,9134,12.2,59.4395,38,3.0,4.23,100.0,44.79
Banking,India,2021.0,Phishing,pii_customer,818141.96,8888,12.2,84.6615,49,4.0,4.215,100.0,87.22
Banking,India,2020.0,Phishing,pii_customer,731906.96,9035,12.3,48.0073,7,1.0,4.222,100.0,56.45
Banking,USA,2021.0,Phishing,pii_customer,702769.97,23308,12.4,44.8778,66,4.0,4.225,100.0,94.97
Banking,China,2019.0,Phishing,pii_customer,715201.1,9328,2.1,64.8273,43,4.0,4.213,100.0,81.43
Banking,USA,2019.0,Phishing,pii_customer,903279.03,9055,12.1,5.3201,27,4.0,4.211,100.0,38.46
Banking,Japan,2017.0,Phishing,pii_customer,154994.53,9159,12.1,88.4143,8,3.0,4.223,100.0,88.4
Banking,USA,2017.0,Phishing,pii_customer,718747.31,44100,12.2,21.3684,6,1.0,4.234,100.0,86.53
Banking,France,2023.0,Phishing,pii_customer,860830.35,8717,12.4,89.4428,67,4.0,4.219,100.0,89.5
Banking,Russia,2024.0,Phishing,pii_customer,690799.67,8515,12.2,88.7401,38,4.0,4.226,100.0,69.85
Banking,China,2018.0,Phishing,pii_customer,676516.63,9029,12.2,75.8526,28,3.0,4.225,100.0,89.75
Banking,India,2021.0,Phishing,pii_customer,754554.84,8820,12.0,62.9954,5,1.0,4.223,100.0,32.3
Banking,USA,2024.0,Phishing,pii_customer,158497.54,8918,12.4,89.4369,1,1.0,4.228,100.0,13.85
Banking,France,2021.0,Phishing,pii_customer,710375.89,9003,34.5,88.5203,70,4.0,4.234,100.0,47.66
Banking,Germany,2023.0,Phishing,pii_customer,579731.62,9123,12.3,89.2306,12,1.0,4.203,,41.65
Banking,China,2022.0,Phishing,pii_customer,347900.09,8964,12.1,49.6779,21,4.0,4.237,100.0,86.36
Banking,Germany,2017.0,Phishing,pii_customer,156834.25,9099,12.2,85.5128,50,2.0,4.217,100.0,44.25
Banking,USA,2016.0,Phishing,pii_customer,163683.55,45000,34.5,83.3192,41,4.0,4.215,100.0,74.43
Banking,France,2023.0,Phishing,pii_customer,731595.52,8826,12.3,96.6664,29,3.0,4.23,100.0,68.83
Banking,India,2015.0,Phishing,pii_customer,529865.13,8842,12.1,29.4842,67,4.0,4.222,100.0,29.18
Banking,Japan,2017.0,Phishing,pii_customer,166340.55,8534,12.0,60.4926,55,4.0,4.21,100.0,67.43
Banking,China,2015.0,Phishing,pii_customer,145047.02,8847,12.3,79.7807,51,3.0,4.224,100.0,82.54
Banking,USA,2017.0,Phishing,pii_customer,831513.57,8844,11.9,51.5322,23,1.0,4.218,100.0,59.72
Banking,USA,2015.0,Phishing,pii_customer,675086.39,9351,12.1,44.0781,10,1.0,4.215,100.0,88.8
Banking,USA,2021.0,Phishing,pii_customer,831531.56,22370,8.9,65.7065,63,4.0,3.823,100.0,91.19
Banking,UK,2021.0,Phishing,pii_customer,778168.38,8661,12.0,35.6715,59,4.0,4.237,100.0,
Banking,USA,2017.0,Phishing,pii_customer,348034.59,8678,12.4,54.685,17,2.0,4.24,100.0,62.49
Banking,China,2019.0,Phishing,pii_customer,396650.45,8592,12.5,92.8325,34,2.0,4.237,100.0,89.61
Banking,France,2019.0,Phishing,pii_customer,770485.07,9075,12.3,60.9201,25,2.0,4.235,100.0,65.74
Banking,France,2024.0,Phishing,pii_customer,856350.07,9176,12.2,96.8166,51,2.0,4.221,100.0,94.12
Banking,UK,2016.0,Phishing,pii_customer,752292.15,8990,12.0,94.3,27,1.0,4.221,100.0,95.7
Banking,China,2021.0,Phishing,pii_customer,625992.08,9175,12.5,81.048,25,3.0,4.236,100.0,90.71
Banking,China,2018.0,Phishing,pii_customer,465248.42,9136,12.3,89.3351,21,4.0,4.236,100.0,9.69
Banking,UK,2019.0,Phishing,pii_customer,784368.0,8999,12.4,97.0428,23,2.0,4.199,100.0,92.19
Banking,India,2022.0,Phishing,pii_customer,645792.62,8760,12.3,68.302,55,4.0,4.223,100.0,62.36
Banking,Japan,2023.0,Phishing,pii_customer,321062.36,3373,8.6,72.628,65,4.0,4.204,100.0,88.91
Banking,China,2021.0,Phishing,pii_customer,712655.99,8861,12.1,86.0523,8,2.0,4.231,100.0,84.3
Banking,UK,2019.0,Phishing,pii_customer,128833.31,10431,12.1,43.9782,42,4.0,4.215,100.0,43.56
Banking,USA,2024.0,Phishing,pii_customer,580328.4,9181,12.3,53.1662,13,3.0,4.21,100.0,84.68
Banking,Germany,2021.0,Phishing,pii_customer,808518.13,43220,34.0,5.4476,2,4.0,4.227,100.0,7.75
Banking,UK,2017.0,Phishing,pii_customer,73586.2,8544,12.4,18.6511,20,2.0,4.217,100.0,10.71
Banking,France,2016.0,Phishing,pii_customer,491099.28,8718,12.3,58.7487,7,2.0,4.225,100.0,39.31
Banking,Australia,2023.0,Phishing,pii_customer,873380.05,8653,8.8,33.3942,8,1.0,4.214,100.0,61.98
Banking,Japan,2020.0,Phishing,pii_customer,433374.97,9570,12.1,88.2158,51,3.0,4.216,100.0,58.47
Banking,Japan,2023.0,Phishing,pii_customer,780419.8,9244,12.3,95.3616,59,4.0,,100.0,89.29
Banking,India,2017.0,Phishing,pii_customer,974876.78,8944,12.3,56.6427,37,2.0,4.218,100.0,71.2
Banking,Japan,2017.0,Phishing,pii_customer,535125.52,8650,12.2,90.4417,1,1.0,4.221,100.0,52.05
Banking,Russia,2017.0,Phishing,pii_customer,692719.87,8649,12.4,88.7461,53,4.0,4.22,100.0,47.44
Banking,USA,2017.0,Phishing,pii_customer,777500.58,8738,12.2,90.4053,70,4.0,4.222,100.0,42.65
Banking,Russia,2017.0,Phishing,pii_customer,755033.22,9119,12.2,95.6205,21,2.0,4.23,100.0,91.03
Banking,Japan,2017.0,Phishing,pii_customer,732172.16,9226,12.1,99.9616,37,2.0,4.22,100.0,95.88
Banking,Japan,,Phishing,pii_customer,776103.01,9167,12.2,87.4431,37,2.0,4.218,100.0,90.22
Banking,UK,2018.0,Phishing,pii_customer,346126.43,8710,12.6,15.9128,5,1.0,4.21,100.0,43.22
Banking,USA,2020.0,Phishing,pii_customer,177941.57,9102,12.3,21.7967,50,4.0,4.224,100.0,53.93
Banking,Japan,2017.0,Phishing,pii_customer,649300.77,8888,12.1,41.6871,46,1.0,4.228,100.0,13.06
Banking,France,2017.0,Phishing,pii_customer,873650.26,9038,12.2,90.4921,36,3.0,4.231,100.0,69.76
Banking,Australia,2017.0,Phishing,pii_customer,696847.74,8719,12.4,31.3554,10,1.0,4.213,100.0,52.28
Banking,USA,2017.0,Phishing,pii_customer,330697.59,8991,12.2,70.997,38,3.0,4.234,100.0,82.03
Banking,Japan,2021.0,Phishing,pii_customer,901313.63,9046,12.3,15.4659,65,4.0,4.225,100.0,80.92
Banking,France,2017.0,Phishing,pii_customer,342960.93,8758,12.3,88.8227,5,1.0,4.236,100.0,94.8
Banking,Russia,2015.0,Phishing,pii_customer,318032.31,8460,12.1,23.7077,54,4.0,4.222,100.0,81.65
Banking,Australia,2016.0,Phishing,pii_customer,529027.04,8826,12.5,52.5908,45,3.0,4.233,100.0,44.0
Banking,Japan,2016.0,Phishing,pii_customer,276215.36,8703,12.0,43.0397,40,4.0,4.219,100.0,90.11
Banking,China,2021.0,Phishing,pii_customer,777711.43,8856,12.3,32.7837,57,4.0,8.44,100.0,36.15
Banking,China,2019.0,Phishing,pii_customer,769838.01,8733,12.4,84.4077,41,3.0,4.241,100.0,72.41
Banking,Australia,2024.0,Phishing,pii_customer,786091.23,8725,12.2,89.4221,70,1.0,4.226,100.0,54.9
Banking,Japan,2021.0,Phishing,pii_customer,840538.79,8993,12.5,79.7801,19,1.0,4.24,100.0,31.44
Banking,Germany,2017.0,Phishing,pii_customer,179136.96,8792,12.3,6.7711,6,1.0,4.217,100.0,14.5
Banking,UK,2019.0,Phishing,pii_customer,801238.15,8656,12.1,83.3345,40,4.0,4.237,100.0,76.66
Banking,Germany,2018.0,Phishing,pii_customer,733981.75,9027,12.1,66.0557,23,1.0,4.214,100.0,12.4
Banking,UK,2021.0,Phishing,pii_customer,812597.6,8662,12.0,8.7183,32,4.0,4.232,100.0,67.94
Banking,Australia,2019.0,Phishing,pii_customer,504152.15,9205,12.4,86.3394,29,2.0,4.217,100.0,83.39
Banking,Brazil,2017.0,Phishing,pii_customer,778227.54,8867,12.4,50.9538,32,2.0,4.227,100.0,50.74
Banking,India,2021.0,Phishing,pii_customer,457288.27,8540,12.2,75.7969,51,4.0,4.239,100.0,75.48
Banking,Brazil,2017.0,Phishing,pii_customer,689124.02,8777,33.7,95.5807,51,4.0,4.223,100.0,48.12
Banking,Australia,2017.0,Phishing,pii_customer,849995.71,8768,12.3,31.2103,3,1.0,4.21,100.0,17.06
Banking,France,2021.0,Phishing,pii_customer,324266.54,9308,12.0,54.4749,4,1.0,4.234,100.0,60.54
Banking,Brazil,2016.0,Phishing,pii_customer,662659.07,9023,34.5,64.5836,27,2.0,4.222,100.0,45.37
Banking,India,2015.0,Phishing,pii_customer,885882.07,8880,12.1,95.1636,19,2.0,4.234,100.0,94.43
Banking,India,2019.0,Phishing,pii_customer,617068.9,8886,12.2,68.5606,7,2.0,4.219,100.0,96.65
Banking,Russia,2017.0,Phishing,pii_customer,678147.89,8961,12.2,95.8716,31,1.0,4.23,100.0,95.53
Banking,Japan,2015.0,Phishing,pii_customer,673366.0,8857,12.1,44.4568,60,1.0,4.22,100.0,55.0
Banking,UK,2022.0,Phishing,pii_customer,838240.88,9150,8.7,89.3121,66,4.0,4.242,100.0,16.99
Banking,Japan,2015.0,Phishing,pii_customer,193528.98,8800,12.3,39.7873,31,4.0,4.23,100.0,47.8
Banking,India,2022.0,Phishing,pii_customer,805027.77,9033,12.5,88.2474,28,2.0,4.221,100.0,89.26
Banking,Russia,2018.0,Phishing,pii_customer,690110.02,8651,12.1,39.0271,13,1.0,4.241,100.0,86.24
Banking,India,2015.0,Phishing,pii_customer,788988.85,9122,12.3,71.5845,7,1.0,4.223,100.0,73.67
Banking,Brazil,2020.0,Phishing,pii_customer,117952.87,8921,34.1,88.5354,73,4.0,4.224,100.0,68.97
Banking,Russia,2024.0,Phishing,pii_customer,668394.89,8999,12.2,64.9904,50,4.0,4.234,100.0,92.78
Banking,China,2023.0,Phishing,pii_customer,437722.04,10662,12.2,90.5292,25,4.0,4.23,100.0,90.96
Banking,France,2021.0,Phishing,pii_customer,886069.85,8951,12.1,89.6941,20,1.0,4.218,100.0,86.94
Banking,USA,2016.0,Phishing,pii_customer,307477.37,2527,12.4,32.5252,34,4.0,4.239,100.0,63.48
Banking,Australia,2023.0,Phishing,pii_customer,840514.47,8562,12.1,92.2442,33,,4.213,100.0,98.84
Banking,Russia,2018.0,Phishing,pii_customer,469088.83,9075,12.1,92.3064,8,1.0,4.237,100.0,67.22
Banking,France,2017.0,Phishing,pii_customer,709381.35,8698,12.1,10.7597,1,1.0,4.226,100.0,1.25
Banking,Russia,2019.0,Phishing,pii_customer,123683.87,8740,12.2,87.3983,66,4.0,4.238,100.0,65.16
Banking,Australia,2017.0,Phishing,pii_customer,476641.78,9184,12.2,90.4541,25,2.0,4.22,100.0,53.18
Banking,India,2015.0,Phishing,pii_customer,726261.71,9163,12.1,95.9329,48,2.0,4.214,100.0,88.85
Banking,UK,2021.0,Phishing,pii_customer,347802.38,8885,12.2,94.1363,37,3.0,4.235,100.0,88.9
Banking,Australia,2017.0,Phishing,pii_customer,766472.8,8688,12.1,93.6697,26,2.0,4.243,100.0,93.01
Banking,USA,2021.0,Phishing,pii_customer,425779.54,9026,12.1,83.6597,51,4.0,4.234,100.0,70.29
Banking,UK,2017.0,Phishing,pii_customer,721637.7,8743,12.3,90.9265,62,4.0,4.219,100.0,90.18
Banking,France,2021.0,Phishing,pii_customer,729407.66,8799,12.0,91.7911,17,2.0,4.23,100.0,89.76
Banking,China,2017.0,Phishing,pii_customer,807398.28,8957,12.1,94.5625,29,2.0,4.236,100.0,89.35
Banking,UK,2023.0,Phishing,pii_customer,349407.92,8926,12.4,94.4908,47,4.0,4.23,100.0,34.59
Banking,India,2022.0,Phishing,pii_customer,669159.69,9006,12.6,88.1718,14,2.0,4.222,100.0,89.71
Banking,Germany,2017.0,Phishing,pii_customer,494258.73,8627,12.3,87.7433,56,4.0,4.22,100.0,89.94
Banking,China,2021.0,Phishing,pii_customer,800269.96,8779,12.3,92.4565,21,2.0,4.218,100.0,92.66
Banking,France,2018.0,Phishing,pii_customer,770844.98,43949,12.3,9.6028,1,1.0,4.214,100.0,0.55
Banking,India,2022.0,Phishing,pii_customer,427284.14,2909,8.7,32.9104,26,4.0,4.219,100.0,49.37
Banking,Germany,2017.0,Phishing,pii_customer,795541.76,8939,12.0,89.571,41,3.0,4.227,100.0,92.48
Banking,India,2021.0,Phishing,pii_customer,289643.15,2300,12.1,56.6461,46,4.0,4.21,100.0,93.48
Banking,Brazil,2021.0,Phishing,pii_customer,657586.95,9062,8.9,11.605,2,1.0,4.227,100.0,12.69
Banking,India,2017.0,Phishing,pii_customer,663289.42,8809,12.3,50.8944,29,1.0,4.23,100.0,92.29
Banking,Japan,2019.0,Phishing,pii_customer,515703.27,8704,12.0,65.529,10,3.0,4.221,100.0,94.7
Banking,Australia,2016.0,Phishing,pii_customer,386696.63,9173,12.2,94.5784,28,1.0,4.249,100.0,93.85
Banking,USA,2019.0,Phishing,pii_customer,52684.67,8425,12.3,82.4331,7,1.0,4.223,100.0,36.18
Banking,Brazil,2022.0,Phishing,pii_customer,939960.0,9984,19.0,66.1246,45,4.0,8.44,100.0,42.91
Banking,Japan,2015.0,Phishing,pii_customer,611288.46,8584,12.4,88.3363,31,4.0,4.218,100.0,66.49
Banking,China,2015.0,Phishing,pii_customer,554724.53,8577,12.3,92.1963,17,1.0,4.209,100.0,84.48
Banking,China,2017.0,Phishing,pii_customer,935466.5,8622,12.5,61.7211,32,3.0,4.209,,70.97
Banking,Germany,2021.0,Phishing,pii_customer,734102.32,9057,12.3,50.2604,23,3.0,4.241,100.0,52.9
Banking,Australia,2023.0,Phishing,pii_customer,679603.54,2307,12.3,10.3211,67,4.0,4.231,100.0,1.99
Banking,Japan,2021.0,Phishing,pii_customer,222910.69,44085,34.0,84.575,21,1.0,4.229,100.0,18.18
Banking,UK,2021.0,Phishing,pii_customer,121423.49,8788,12.0,91.0958,51,3.0,4.232,100.0,98.08
Banking,China,2015.0,Phishing,pii_customer,364819.83,8876,12.2,48.9759,4,1.0,4.213,100.0,7.34
Banking,USA,2021.0,Phishing,pii_customer,515931.1,2584,12.3,31.5322,11,4.0,4.241,100.0,10.3
Banking,China,2017.0,Phishing,pii_customer,451284.82,3256,12.3,66.9227,42,3.0,4.223,100.0,40.55
Banking,France,2019.0,Phishing,pii_customer,886390.81,8836,12.0,94.4002,22,1.0,4.24,100.0,28.82
Banking,USA,2021.0,Phishing,pii_customer,729442.41,9050,12.5,87.9418,21,2.0,4.227,100.0,91.28
Banking,USA,2021.0,Phishing,pii_customer,805633.49,8798,12.4,44.698,18,1.0,4.23,100.0,89.07
Banking,India,2017.0,Phishing,pii_customer,644628.53,8706,12.2,74.5007,67,4.0,4.226,100.0,36.11
Banking,China,2023.0,Phishing,pii_customer,678580.84,8922,12.2,33.5026,34,4.0,4.229,100.0,42.76
Banking,Germany,2017.0,Phishing,pii_customer,848700.0,9308,12.3,92.3879,32,2.0,4.225,100.0,89.62
Banking,Germany,2021.0,Phishing,pii_customer,845604.84,8961,12.3,48.4006,17,1.0,4.25,100.0,91.58
Banking,Japan,2023.0,Phishing,pii_customer,248951.26,9092,12.3,69.2224,11,1.0,4.218,100.0,64.97
Banking,India,2024.0,Phishing,pii_customer,878125.16,9485,12.2,78.5438,31,2.0,4.226,100.0,55.65
Banking,UK,2023.0,Phishing,pii_customer,425669.87,8936,12.2,89.0734,25,2.0,4.243,100.0,88.18
Banking,Brazil,2018.0,Phishing,pii_customer,471017.96,8712,12.4,63.9496,39,2.0,4.233,100.0,
Banking,Germany,2024.0,Phishing,pii_customer,421231.97,9027,12.3,70.6907,72,4.0,8.44,100.0,36.15
Banking,USA,2017.0,Phishing,pii_customer,482188.52,8912,12.4,11.8962,4,1.0,3.818,100.0,38.69
Banking,USA,2016.0,Phishing,pii_customer,395785.47,10100,12.3,35.0621,60,4.0,3.812,100.0,23.48
Banking,India,2023.0,Phishing,pii_customer,686870.16,8844,12.3,79.4983,33,1.0,4.236,100.0,43.32
