Industry,Country,Year,Attack_Type,Data_Type,Records_Compromised,Employee_Count,Security_Budget_Million_USD,Financial_Impact_Million_USD,Recovery_Time_Days,Incident_Severity,Baseline_Industry_Cost_Million_USD,Per_Record_Cost_USD,Estimated_Financial_Impact_Million_USD
Banking,Brazil,2015.0,Phishing,pii_customer,191625.0,8900,12.3,43.4,65,4.0,4.22,100.0,43.4
Education,Australia,2024.0,Phishing,pii_customer,93185.0,3400,2.1,93.32,14,1.0,3.376,100.0,93.32
Healthcare,India,2019.0,Phishing,pii_customer,40718.0,10700,19.2,35.6,24,2.0,8.44,100.0,35.6
Government,China,2015.0,Phishing,pii_customer,310574.0,2300,8.9,42.73,65,4.0,4.22,100.0,42.73
Education,India,2024.0,DDoS,pii_customer,475719.0,3400,2.1,73.37,52,4.0,3.376,100.0,73.37
Retail,UK,2018.0,Malware,pii_customer,404060.0,23000,8.9,73.18,32,3.0,3.798,100.0,73.18
Education,China,2024.0,Malware,pii_customer,132726.0,3400,2.1,72.35,55,4.0,3.376,100.0,72.35
Banking,UK,2016.0,DDoS,pii_customer,336376.0,8900,12.3,87.68,11,1.0,4.22,100.0,87.68
Healthcare,Australia,2022.0,Malware,pii_customer,566437.0,10700,19.2,67.16,63,4.0,8.44,100.0,67.16
Education,Russia,2017.0,Man-in-the-Middle,pii_customer,313631.0,3400,2.1,83.43,16,1.0,3.376,100.0,83.43
Banking,France,2016.0,DDoS,pii_customer,996004.0,8900,12.3,28.66,28,3.0,4.22,100.0,28.66
Healthcare,China,2021.0,Phishing,pii_customer,871600.0,10700,19.2,55.04,29,3.0,8.44,100.0,55.04
IT,Brazil,2015.0,DDoS,pii_customer,940656.0,8900,12.3,43.51,41,3.0,4.22,100.0,43.51
Telecommunications,USA,2015.0,Ransomware,pii_customer,297209.0,45000,34.5,20.73,66,4.0,4.22,100.0,20.73
IT,UK,2019.0,Phishing,pii_customer,28321.0,8900,12.3,78.19,63,4.0,4.22,100.0,78.19
Telecommunications,Brazil,2022.0,Phishing,pii_customer,456783.0,45000,34.5,29.02,10,1.0,4.22,100.0,29.02
Banking,Germany,2018.0,Ransomware,pii_customer,933028.0,8900,12.3,87.56,25,2.0,4.22,100.0,87.56
Telecommunications,Australia,2023.0,Phishing,pii_customer,221512.0,45000,34.5,24.65,56,4.0,4.22,100.0,24.65
Banking,France,2017.0,Phishing,pii_customer,16585.0,8900,12.3,17.88,12,1.0,4.22,100.0,17.88
Education,USA,2022.0,Ransomware,pii_customer,787752.0,3400,2.1,21.01,9,1.0,3.376,100.0,21.01
Banking,Russia,2022.0,SQL Injection,pii_customer,662517.0,8900,12.3,60.25,40,3.0,4.22,100.0,60.25
Education,Brazil,2018.0,Malware,pii_customer,274509.0,3400,2.1,6.63,20,2.0,3.376,100.0,6.63
Government,France,2024.0,Phishing,pii_customer,508649.0,2300,8.9,5.8,66,4.0,4.22,100.0,5.8
IT,Brazil,2021.0,DDoS,pii_customer,740257.0,8900,12.3,70.26,70,4.0,4.22,100.0,70.26
Healthcare,Australia,2024.0,Malware,pii_customer,969504.0,10700,19.2,62.08,5,1.0,8.44,100.0,62.08
Healthcare,Germany,2016.0,Man-in-the-Middle,pii_customer,779494.0,10700,19.2,90.2,54,4.0,8.44,100.0,90.2
Banking,Japan,2019.0,Malware,pii_customer,605166.0,8900,12.3,44.17,27,3.0,4.22,100.0,44.17
Government,France,2023.0,Malware,pii_customer,274946.0,2300,8.9,55.18,66,4.0,4.22,100.0,55.18
Banking,Japan,2019.0,Man-in-the-Middle,pii_customer,645097.0,8900,12.3,41.32,36,3.0,4.22,100.0,41.32
Telecommunications,UK,2015.0,DDoS,pii_customer,157678.0,45000,34.5,32.92,68,4.0,4.22,100.0,32.92
Retail,Brazil,2022.0,DDoS,pii_customer,157034.0,23000,8.9,15.16,69,4.0,3.798,100.0,15.16
Education,India,2020.0,SQL Injection,pii_customer,550656.0,3400,2.1,62.5,4,1.0,3.376,100.0,62.5
Healthcare,Australia,2017.0,SQL Injection,pii_customer,634048.0,10700,19.2,68.91,66,4.0,8.44,100.0,68.91
Banking,UK,2023.0,DDoS,pii_customer,547495.0,8900,12.3,81.26,3,1.0,4.22,100.0,81.26
Healthcare,UK,2024.0,DDoS,pii_customer,487694.0,10700,19.2,58.31,41,3.0,8.44,100.0,58.31
Retail,France,2023.0,Man-in-the-Middle,pii_customer,427067.0,23000,8.9,88.65,42,4.0,3.798,100.0,88.65
Telecommunications,Australia,2023.0,Malware,pii_customer,954902.0,45000,34.5,1.51,55,4.0,4.22,100.0,1.51
Banking,UK,2020.0,Ransomware,pii_customer,128594.0,8900,12.3,49.23,53,4.0,4.22,100.0,49.23
Healthcare,Germany,2024.0,Phishing,pii_customer,189430.0,10700,19.2,84.53,1,1.0,8.44,100.0,84.53
Healthcare,France,2021.0,DDoS,pii_customer,603327.0,10700,19.2,90.63,15,1.0,8.44,100.0,90.63
Education,UK,2021.0,DDoS,pii_customer,276593.0,3400,2.1,80.26,36,3.0,3.376,100.0,80.26
Education,Japan,2023.0,Malware,pii_customer,975282.0,3400,2.1,22.87,49,4.0,3.376,100.0,22.87
Retail,India,2018.0,Ransomware,pii_customer,486810.0,23000,8.9,23.79,11,1.0,3.798,100.0,23.79
IT,Japan,2021.0,Ransomware,pii_customer,969517.0,8900,12.3,35.43,25,2.0,4.22,100.0,35.43
Banking,Australia,2022.0,Malware,pii_customer,151599.0,8900,12.3,74.77,18,2.0,4.22,100.0,74.77
IT,Japan,2022.0,SQL Injection,pii_customer,749545.0,8900,12.3,66.66,30,3.0,4.22,100.0,66.66
Retail,Brazil,2015.0,Malware,pii_customer,71743.0,23000,8.9,78.13,35,3.0,3.798,100.0,78.13
Banking,Germany,2018.0,Phishing,pii_customer,969684.0,8900,12.3,11.39,41,3.0,4.22,100.0,11.39
Education,Germany,2020.0,SQL Injection,pii_customer,842506.0,3400,2.1,87.84,19,2.0,3.376,100.0,87.84
IT,Brazil,2023.0,Man-in-the-Middle,pii_customer,933883.0,8900,12.3,10.18,41,3.0,4.22,100.0,10.18
Education,UK,2019.0,Malware,pii_customer,393748.0,3400,2.1,4.42,10,1.0,3.376,100.0,4.42
Banking,Brazil,2020.0,DDoS,pii_customer,708549.0,8900,12.3,76.98,37,3.0,4.22,100.0,76.98
Healthcare,Japan,2020.0,DDoS,pii_customer,136762.0,10700,19.2,73.24,41,3.0,8.44,100.0,73.24
Telecommunications,Russia,2018.0,Malware,pii_customer,737958.0,45000,34.5,8.11,35,3.0,4.22,100.0,8.11
Banking,Japan,2020.0,Man-in-the-Middle,pii_customer,108886.0,8900,12.3,23.55,51,4.0,4.22,100.0,23.55
Banking,Australia,2016.0,Phishing,pii_customer,285311.0,8900,12.3,92.79,55,4.0,4.22,100.0,92.79
Retail,USA,2021.0,Malware,pii_customer,961868.0,23000,8.9,71.11,57,4.0,3.798,100.0,71.11
Banking,Australia,2023.0,Man-in-the-Middle,pii_customer,471743.0,8900,12.3,57.34,29,3.0,4.22,100.0,57.34
Government,UK,2024.0,Phishing,pii_customer,993903.0,2300,8.9,81.26,25,2.0,4.22,100.0,81.26
Telecommunications,China,2024.0,Ransomware,pii_customer,179156.0,45000,34.5,7.32,34,3.0,4.22,100.0,7.32
Healthcare,Germany,2022.0,Man-in-the-Middle,pii_customer,699129.0,10700,19.2,56.27,25,2.0,8.44,100.0,56.27
IT,Russia,2021.0,Malware,pii_customer,920983.0,8900,12.3,83.76,24,2.0,4.22,100.0,83.76
Banking,UK,2023.0,SQL Injection,pii_customer,875790.0,8900,12.3,85.64,36,3.0,4.22,100.0,85.64
Retail,Russia,2016.0,Malware,pii_customer,415274.0,23000,8.9,61.39,40,3.0,3.798,100.0,61.39
Banking,Russia,2023.0,Ransomware,pii_customer,222293.0,8900,12.3,42.14,38,3.0,4.22,100.0,42.14
Retail,France,2021.0,Man-in-the-Middle,pii_customer,357092.0,23000,8.9,94.4,71,4.0,3.798,100.0,94.4
Telecommunications,Australia,2021.0,Malware,pii_customer,708291.0,45000,34.5,84.68,54,4.0,4.22,100.0,84.68
Banking,Russia,2024.0,Malware,pii_customer,517610.0,8900,12.3,93.33,35,3.0,4.22,100.0,93.33
Government,Germany,2023.0,Malware,pii_customer,368803.0,2300,8.9,70.46,23,2.0,4.22,100.0,70.46
Healthcare,China,2023.0,Man-in-the-Middle,pii_customer,421191.0,10700,19.2,48.71,62,4.0,8.44,100.0,48.71
IT,India,2018.0,Phishing,pii_customer,282139.0,8900,12.3,69.03,37,3.0,4.22,100.0,69.03
IT,China,2018.0,Malware,pii_customer,117543.0,8900,12.3,49.19,22,2.0,4.22,100.0,49.19
Government,France,2016.0,Phishing,pii_customer,536925.0,2300,8.9,27.2,62,4.0,4.22,100.0,27.2
Retail,France,2023.0,Ransomware,pii_customer,238068.0,23000,8.9,64.08,61,4.0,3.798,100.0,64.08
Telecommunications,Japan,2022.0,Malware,pii_customer,39814.0,45000,34.5,38.46,32,3.0,4.22,100.0,38.46
Government,India,2018.0,DDoS,pii_customer,268956.0,2300,8.9,80.89,47,4.0,4.22,100.0,80.89
Education,France,2015.0,Malware,pii_customer,3213.8,3400,2.1,15.76,58,4.0,3.376,100.0,15.76
Telecommunications,USA,2021.0,SQL Injection,pii_customer,982969.0,45000,34.5,82.24,64,4.0,4.22,100.0,82.24
Government,Germany,2021.0,Malware,pii_customer,219703.0,2300,8.9,82.72,33,3.0,4.22,100.0,82.72
Retail,Japan,2016.0,Man-in-the-Middle,pii_customer,530947.0,23000,8.9,18.96,12,1.0,3.798,100.0,18.96
IT,UK,2017.0,SQL Injection,pii_customer,576110.0,8900,12.3,53.39,37,3.0,4.22,100.0,53.39
Government,UK,2017.0,Man-in-the-Middle,pii_customer,177154.0,2300,8.9,48.9,68,4.0,4.22,100.0,48.9
Healthcare,France,2017.0,SQL Injection,pii_customer,212177.0,10700,19.2,60.77,2,1.0,8.44,100.0,60.77
Banking,Germany,2021.0,DDoS,pii_customer,8787.0,8900,12.3,91.24,55,4.0,4.22,100.0,91.24
Education,USA,2015.0,Phishing,pii_customer,291727.0,3400,2.1,41.36,31,3.0,3.376,100.0,41.36
IT,Germany,2022.0,DDoS,pii_customer,987652.0,8900,12.3,78.18,72,4.0,4.22,100.0,78.18
Telecommunications,China,2022.0,Ransomware,pii_customer,236284.0,45000,34.5,16.16,38,3.0,4.22,100.0,16.16
Telecommunications,USA,2020.0,Man-in-the-Middle,pii_customer,209853.0,45000,34.5,15.63,1,1.0,4.22,100.0,15.63
Retail,Australia,2020.0,DDoS,pii_customer,755621.0,23000,8.9,36.29,50,4.0,3.798,100.0,36.29
Retail,France,2015.0,SQL Injection,pii_customer,694844.0,23000,8.9,61.41,43,4.0,3.798,100.0,61.41
Retail,France,2018.0,SQL Injection,pii_customer,795831.0,23000,8.9,53.72,61,4.0,3.798,100.0,53.72
Retail,Brazil,2020.0,DDoS,pii_customer,342253.0,23000,8.9,17.4,22,2.0,3.798,100.0,17.4
Retail,USA,2016.0,Phishing,pii_customer,638693.0,23000,8.9,75.94,35,3.0,3.798,100.0,75.94
Banking,USA,2018.0,Phishing,pii_customer,618616.0,8900,12.3,55.9,51,4.0,4.22,100.0,55.9
Retail,Brazil,2023.0,SQL Injection,pii_customer,774426.0,23000,8.9,56.76,21,2.0,3.798,100.0,56.76
Government,Australia,2023.0,DDoS,pii_customer,900661.0,2300,8.9,76.25,64,4.0,4.22,100.0,76.25
Telecommunications,India,2019.0,Phishing,pii_customer,141627.0,45000,34.5,75.23,64,4.0,4.22,100.0,75.23
IT,Germany,2024.0,Phishing,pii_customer,845785.0,8900,12.3,3.93,69,4.0,4.22,100.0,3.93
Retail,Australia,2015.0,Malware,pii_customer,120048.0,23000,8.9,99.41,12,1.0,3.798,100.0,99.41
Retail,USA,2016.0,Malware,pii_customer,894935.0,23000,8.9,32.89,31,3.0,3.798,100.0,32.89
Healthcare,Japan,2017.0,SQL Injection,pii_customer,277555.0,10700,19.2,21.66,45,4.0,8.44,100.0,21.66
Education,Australia,2024.0,Ransomware,pii_customer,461012.0,3400,2.1,85.86,38,3.0,3.376,100.0,85.86
Telecommunications,Russia,2021.0,SQL Injection,pii_customer,599291.0,45000,34.5,80.23,55,4.0,4.22,100.0,80.23
Government,Australia,2016.0,Man-in-the-Middle,pii_customer,163602.0,2300,8.9,31.92,26,3.0,4.22,100.0,31.92
Government,UK,2021.0,SQL Injection,pii_customer,986196.0,2300,8.9,39.03,11,1.0,4.22,100.0,39.03
Retail,France,2024.0,Ransomware,pii_customer,349008.0,23000,8.9,99.03,20,2.0,3.798,100.0,99.03
Retail,Germany,2022.0,SQL Injection,pii_customer,559667.0,23000,8.9,25.1,69,4.0,3.798,100.0,25.1
Healthcare,Russia,2018.0,DDoS,pii_customer,335628.0,10700,19.2,67.27,20,2.0,8.44,100.0,67.27
Education,Germany,2016.0,Ransomware,pii_customer,385363.0,3400,2.1,29.89,22,2.0,3.376,100.0,29.89
Education,USA,2021.0,Man-in-the-Middle,pii_customer,945793.0,3400,2.1,15.92,32,3.0,3.376,100.0,15.92
Telecommunications,Russia,2016.0,SQL Injection,pii_customer,595950.0,45000,34.5,95.93,11,1.0,4.22,100.0,95.93
Education,Japan,2022.0,DDoS,pii_customer,756722.0,3400,2.1,12.61,15,1.0,3.376,100.0,12.61
Government,Australia,2024.0,Ransomware,pii_customer,594424.0,2300,8.9,39.92,54,4.0,4.22,100.0,39.92
Retail,China,2015.0,Malware,pii_customer,457790.0,23000,8.9,19.36,39,3.0,3.798,100.0,19.36
Telecommunications,China,2024.0,Ransomware,pii_customer,549337.0,45000,34.5,70.47,63,4.0,4.22,100.0,70.47
Healthcare,France,2023.0,Malware,pii_customer,714681.0,10700,19.2,53.34,34,3.0,8.44,100.0,53.34
Government,India,2022.0,Malware,pii_customer,849745.0,2300,8.9,84.15,51,4.0,4.22,100.0,84.15
Banking,Brazil,2019.0,SQL Injection,pii_customer,826256.0,8900,12.3,27.64,50,4.0,4.22,100.0,27.64
IT,UK,2017.0,DDoS,pii_customer,617543.0,8900,12.3,9.01,43,4.0,4.22,100.0,9.01
Banking,USA,2017.0,SQL Injection,pii_customer,895507.0,8900,12.3,9.08,52,4.0,4.22,100.0,9.08
Healthcare,UK,2020.0,SQL Injection,pii_customer,3213.8,10700,19.2,67.9,45,4.0,8.44,100.0,67.9
Government,Japan,2022.0,Phishing,pii_customer,76776.0,2300,8.9,71.12,42,4.0,4.22,100.0,71.12
Retail,China,2019.0,Ransomware,pii_customer,175261.0,23000,8.9,6.08,64,4.0,3.798,100.0,6.08
Healthcare,Australia,2016.0,Man-in-the-Middle,pii_customer,746369.0,10700,19.2,90.85,30,3.0,8.44,100.0,90.85
Healthcare,Australia,2017.0,Malware,pii_customer,563706.0,10700,19.2,77.32,35,3.0,8.44,100.0,77.32
Healthcare,India,2022.0,DDoS,pii_customer,254980.0,10700,19.2,12.01,58,4.0,8.44,100.0,12.01
Education,Russia,2021.0,Malware,pii_customer,869574.0,3400,2.1,1.05,16,1.0,3.376,100.0,0.54
IT,Russia,2015.0,Malware,pii_customer,282598.0,8900,12.3,95.33,21,2.0,4.22,100.0,95.33
Telecommunications,Brazil,2023.0,Malware,pii_customer,422623.0,45000,34.5,62.77,55,4.0,4.22,100.0,62.77
Healthcare,Brazil,2021.0,Malware,pii_customer,937717.0,10700,19.2,83.06,56,4.0,8.44,100.0,83.06
Telecommunications,India,2021.0,Man-in-the-Middle,pii_customer,416077.0,45000,34.5,71.64,39,3.0,4.22,100.0,71.64
Banking,Australia,2019.0,Man-in-the-Middle,pii_customer,112313.0,8900,12.3,47.67,63,4.0,4.22,100.0,47.67
Telecommunications,Australia,2017.0,Man-in-the-Middle,pii_customer,799971.0,45000,34.5,79.72,63,4.0,4.22,100.0,79.72
Retail,Japan,2018.0,Man-in-the-Middle,pii_customer,690595.0,23000,8.9,47.11,71,4.0,3.798,100.0,47.11
Government,India,2017.0,Man-in-the-Middle,pii_customer,713419.0,2300,8.9,69.69,70,4.0,4.22,100.0,69.69
Healthcare,Australia,2022.0,Man-in-the-Middle,pii_customer,707365.0,10700,19.2,81.31,38,3.0,8.44,100.0,81.31
Healthcare,Brazil,2016.0,Malware,pii_customer,155059.0,10700,19.2,83.88,29,3.0,8.44,100.0,83.88
Banking,Russia,2022.0,Phishing,pii_customer,923558.0,8900,12.3,85.01,41,3.0,4.22,100.0,85.01
Telecommunications,Germany,2022.0,DDoS,pii_customer,239313.0,45000,34.5,20.55,6,1.0,4.22,100.0,20.55
Telecommunications,Russia,2023.0,Ransomware,pii_customer,874485.0,45000,34.5,60.08,48,4.0,4.22,100.0,60.08
Healthcare,Russia,2016.0,SQL Injection,pii_customer,90895.0,10700,19.2,46.95,29,3.0,8.44,100.0,46.95
Retail,China,2015.0,Man-in-the-Middle,pii_customer,529593.0,23000,8.9,47.2,64,4.0,3.798,100.0,47.2
Government,Germany,2018.0,Phishing,pii_customer,610201.0,2300,8.9,46.92,72,4.0,4.22,100.0,46.92
Telecommunications,USA,2021.0,DDoS,pii_customer,863623.0,45000,34.5,1.98,24,2.0,4.22,100.0,1.98
Healthcare,USA,2018.0,Malware,pii_customer,755771.0,10700,19.2,14.28,44,4.0,8.44,100.0,14.28
Telecommunications,Japan,2021.0,SQL Injection,pii_customer,164032.0,45000,34.5,66.23,5,1.0,4.22,100.0,66.23
Telecommunications,Russia,2019.0,Man-in-the-Middle,pii_customer,259993.0,45000,34.5,95.66,58,4.0,4.22,100.0,95.66
Retail,UK,2019.0,Phishing,pii_customer,232359.0,23000,8.9,90.13,17,1.0,3.798,100.0,90.13
Telecommunications,Germany,2018.0,Phishing,pii_customer,800031.0,45000,34.5,84.9,10,1.0,4.22,100.0,84.9
Healthcare,UK,2016.0,Phishing,pii_customer,925040.0,10700,19.2,71.19,48,4.0,8.44,100.0,71.19
IT,Brazil,2016.0,Malware,pii_customer,273469.0,8900,12.3,99.29,67,4.0,4.22,100.0,99.29
Banking,Germany,2024.0,Malware,pii_customer,797768.0,8900,12.3,22.84,58,4.0,4.22,100.0,22.84
Education,Japan,2022.0,DDoS,pii_customer,905203.0,3400,2.1,82.19,37,3.0,3.376,100.0,82.19
