Industry,Country,Year,Attack_Type,Canonical_Attack_Vector,Data_Type,Records_Compromised,Employee_Count,Security_Budget_Million_USD,Financial_Impact_Million_USD,Recovery_Time_Days,Incident_Severity,Baseline_Industry_Cost_Million_USD,Per_Record_Cost_USD,Estimated_Financial_Impact_Million_USD,Baseline_Source,PerRecord_Source,Source_Tag
Banking,Australia,2020,DDoS,unknown,pii_customer,942890,8900,12.3,92.95,19,2,4.22,100.0,92.95,IBM_Global×Multiplier,,LEAN
Healthcare,France,2022,Malware,unknown,pii_customer,794906,10700,19.2,20.33,36,3,8.44,100.0,20.33,IBM_Global×Multiplier,,LEAN
Government,Australia,2016,SQL Injection,vulnerability exploit,pii_customer,481293,2300,8.9,27.33,65,4,4.22,100.0,27.33,IBM_Global×Multiplier,,LEAN
Education,India,2016,DDoS,vulnerability exploit,pii_customer,602692,3400,2.1,21.01,29,3,3.376,100.0,21.01,IBM_Global×Multiplier,,LEAN
Retail,UK,2018,Man-in-the-Middle,unknown,pii_customer,455529,23000,8.9,13.66,40,3,3.798,100.0,13.66,IBM_Global×Multiplier,,LEAN
Telecommunications,Japan,2017,Phishing,unknown,pii_customer,383395,45000,34.5,75.84,31,3,4.22,100.0,75.84,IBM_Global×Multiplier,,LEAN
Retail,USA,2023,DDoS,unknown,pii_customer,113612,23000,8.9,59.69,70,4,3.798,100.0,59.69,IBM_Global×Multiplier,,LEAN
Government,Australia,2019,Malware,vulnerability exploit,pii_customer,984411,2300,8.9,21.72,17,1,4.22,100.0,21.72,IBM_Global×Multiplier,,LEAN
IT,UK,2015,Phishing,unknown,pii_customer,17229,8900,12.3,85.58,30,3,4.22,100.0,85.58,IBM_Global×Multiplier,,LEAN
Healthcare,France,2018,Phishing,unknown,pii_customer,581303,10700,19.2,75.11,51,4,8.44,100.0,75.11,IBM_Global×Multiplier,,LEAN
Education,India,2019,Man-in-the-Middle,unknown,pii_customer,799474,3400,2.1,10.8,23,2,3.376,100.0,10.8,IBM_Global×Multiplier,,LEAN
Banking,India,2020,DDoS,vulnerability exploit,pii_customer,898655,8900,12.3,86.27,10,1,4.22,100.0,86.27,IBM_Global×Multiplier,,LEAN
Healthcare,UK,2021,Malware,unknown,pii_customer,698852,10700,19.2,67.1,57,4,8.44,100.0,67.1,IBM_Global×Multiplier,,LEAN
Healthcare,India,2018,DDoS,vulnerability exploit,pii_customer,304162,10700,19.2,76.43,56,4,8.44,100.0,76.43,IBM_Global×Multiplier,,LEAN
Banking,Brazil,2015,Phishing,unknown,pii_customer,191625,8900,12.3,43.4,65,4,4.22,100.0,43.4,IBM_Global×Multiplier,,LEAN
Education,Australia,2024,Phishing,vulnerability exploit,pii_customer,93185,3400,2.1,93.32,14,1,3.376,100.0,93.32,IBM_Global×Multiplier,,LEAN
Healthcare,India,2019,Phishing,unknown,pii_customer,40718,10700,19.2,35.6,24,2,8.44,100.0,35.6,IBM_Global×Multiplier,,LEAN
Government,China,2015,Phishing,unknown,pii_customer,310574,2300,8.9,42.73,65,4,4.22,100.0,42.73,IBM_Global×Multiplier,,LEAN
Education,India,2024,DDoS,unknown,pii_customer,475719,3400,2.1,73.37,52,4,3.376,100.0,73.37,IBM_Global×Multiplier,,LEAN
Retail,UK,2018,Malware,unknown,pii_customer,404060,23000,8.9,73.18,32,3,3.798,100.0,73.18,IBM_Global×Multiplier,,LEAN
Education,China,2024,Malware,unknown,pii_customer,132726,3400,2.1,72.35,55,4,3.376,100.0,72.35,IBM_Global×Multiplier,,LEAN
Banking,UK,2016,DDoS,unknown,pii_customer,336376,8900,12.3,87.68,11,1,4.22,100.0,87.68,IBM_Global×Multiplier,,LEAN
Healthcare,Australia,2022,Malware,unknown,pii_customer,566437,10700,19.2,67.16,63,4,8.44,100.0,67.16,IBM_Global×Multiplier,,LEAN
Education,Russia,2017,Man-in-the-Middle,unknown,pii_customer,313631,3400,2.1,83.43,16,1,3.376,100.0,83.43,IBM_Global×Multiplier,,LEAN
Banking,France,2016,DDoS,unknown,pii_customer,996004,8900,12.3,28.66,28,3,4.22,100.0,28.66,IBM_Global×Multiplier,,LEAN
Healthcare,China,2021,Phishing,vulnerability exploit,pii_customer,871600,10700,19.2,55.04,29,3,8.44,100.0,55.04,IBM_Global×Multiplier,,LEAN
IT,Brazil,2015,DDoS,unknown,pii_customer,940656,8900,12.3,43.51,41,3,4.22,100.0,43.51,IBM_Global×Multiplier,,LEAN
Telecommunications,USA,2015,Ransomware,unknown,pii_customer,297209,45000,34.5,20.73,66,4,4.22,100.0,20.73,IBM_Global×Multiplier,,LEAN
IT,UK,2019,Phishing,vulnerability exploit,pii_customer,28321,8900,12.3,78.19,63,4,4.22,100.0,78.19,IBM_Global×Multiplier,,LEAN
Telecommunications,Brazil,2022,Phishing,unknown,pii_customer,456783,45000,34.5,29.02,10,1,4.22,100.0,29.02,IBM_Global×Multiplier,,LEAN
Banking,Germany,2018,Ransomware,vulnerability exploit,pii_customer,933028,8900,12.3,87.56,25,2,4.22,100.0,87.56,IBM_Global×Multiplier,,LEAN
Telecommunications,Australia,2023,Phishing,unknown,pii_customer,221512,45000,34.5,24.65,56,4,4.22,100.0,24.65,IBM_Global×Multiplier,,LEAN
Banking,France,2017,Phishing,vulnerability exploit,pii_customer,16585,8900,12.3,17.88,12,1,4.22,100.0,17.88,IBM_Global×Multiplier,,LEAN
Education,USA,2022,Ransomware,unknown,pii_customer,787752,3400,2.1,21.01,9,1,3.376,100.0,21.01,IBM_Global×Multiplier,,LEAN
Banking,Russia,2022,SQL Injection,unknown,pii_customer,662517,8900,12.3,60.25,40,3,4.22,100.0,60.25,IBM_Global×Multiplier,,LEAN
Education,Brazil,2018,Malware,unknown,pii_customer,274509,3400,2.1,6.63,20,2,3.376,100.0,6.63,IBM_Global×Multiplier,,LEAN
Government,France,2024,Phishing,vulnerability exploit,pii_customer,508649,2300,8.9,5.8,66,4,4.22,100.0,5.8,IBM_Global×Multiplier,,LEAN
IT,Brazil,2021,DDoS,unknown,pii_customer,740257,8900,12.3,70.26,70,4,4.22,100.0,70.26,IBM_Global×Multiplier,,LEAN
Healthcare,Australia,2024,Malware,unknown,pii_customer,969504,10700,19.2,62.08,5,1,8.44,100.0,62.08,IBM_Global×Multiplier,,LEAN
Healthcare,Germany,2016,Man-in-the-Middle,unknown,pii_customer,779494,10700,19.2,90.2,54,4,8.44,100.0,90.2,IBM_Global×Multiplier,,LEAN
Banking,Japan,2019,Malware,unknown,pii_customer,605166,8900,12.3,44.17,27,3,4.22,100.0,44.17,IBM_Global×Multiplier,,LEAN
Government,France,2023,Malware,unknown,pii_customer,274946,2300,8.9,55.18,66,4,4.22,100.0,55.18,IBM_Global×Multiplier,,LEAN
Banking,Japan,2019,Man-in-the-Middle,unknown,pii_customer,645097,8900,12.3,41.32,36,3,4.22,100.0,41.32,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2015,DDoS,vulnerability exploit,pii_customer,157678,45000,34.5,32.92,68,4,4.22,100.0,32.92,IBM_Global×Multiplier,,LEAN
Retail,Brazil,2022,DDoS,unknown,pii_customer,157034,23000,8.9,15.16,69,4,3.798,100.0,15.16,IBM_Global×Multiplier,,LEAN
Education,India,2020,SQL Injection,unknown,pii_customer,550656,3400,2.1,62.5,4,1,3.376,100.0,62.5,IBM_Global×Multiplier,,LEAN
Healthcare,Australia,2017,SQL Injection,vulnerability exploit,pii_customer,634048,10700,19.2,68.91,66,4,8.44,100.0,68.91,IBM_Global×Multiplier,,LEAN
Banking,UK,2023,DDoS,unknown,pii_customer,547495,8900,12.3,81.26,3,1,4.22,100.0,81.26,IBM_Global×Multiplier,,LEAN
Healthcare,UK,2024,DDoS,unknown,pii_customer,487694,10700,19.2,58.31,41,3,8.44,100.0,58.31,IBM_Global×Multiplier,,LEAN
Retail,France,2023,Man-in-the-Middle,vulnerability exploit,pii_customer,427067,23000,8.9,88.65,42,4,3.798,100.0,88.65,IBM_Global×Multiplier,,LEAN
Telecommunications,Australia,2023,Malware,vulnerability exploit,pii_customer,954902,45000,34.5,1.51,55,4,4.22,100.0,1.51,IBM_Global×Multiplier,,LEAN
Banking,UK,2020,Ransomware,unknown,pii_customer,128594,8900,12.3,49.23,53,4,4.22,100.0,49.23,IBM_Global×Multiplier,,LEAN
Healthcare,Germany,2024,Phishing,unknown,pii_customer,189430,10700,19.2,84.53,1,1,8.44,100.0,84.53,IBM_Global×Multiplier,,LEAN
Healthcare,France,2021,DDoS,vulnerability exploit,pii_customer,603327,10700,19.2,90.63,15,1,8.44,100.0,90.63,IBM_Global×Multiplier,,LEAN
Education,UK,2021,DDoS,unknown,pii_customer,276593,3400,2.1,80.26,36,3,3.376,100.0,80.26,IBM_Global×Multiplier,,LEAN
Education,Japan,2023,Malware,vulnerability exploit,pii_customer,975282,3400,2.1,22.87,49,4,3.376,100.0,22.87,IBM_Global×Multiplier,,LEAN
Retail,India,2018,Ransomware,vulnerability exploit,pii_customer,486810,23000,8.9,23.79,11,1,3.798,100.0,23.79,IBM_Global×Multiplier,,LEAN
IT,Japan,2021,Ransomware,unknown,pii_customer,969517,8900,12.3,35.43,25,2,4.22,100.0,35.43,IBM_Global×Multiplier,,LEAN
Banking,Australia,2022,Malware,unknown,pii_customer,151599,8900,12.3,74.77,18,2,4.22,100.0,74.77,IBM_Global×Multiplier,,LEAN
IT,Japan,2022,SQL Injection,unknown,pii_customer,749545,8900,12.3,66.66,30,3,4.22,100.0,66.66,IBM_Global×Multiplier,,LEAN
Retail,Brazil,2015,Malware,vulnerability exploit,pii_customer,71743,23000,8.9,78.13,35,3,3.798,100.0,78.13,IBM_Global×Multiplier,,LEAN
Banking,Germany,2018,Phishing,unknown,pii_customer,969684,8900,12.3,11.39,41,3,4.22,100.0,11.39,IBM_Global×Multiplier,,LEAN
Education,Germany,2020,SQL Injection,unknown,pii_customer,842506,3400,2.1,87.84,19,2,3.376,100.0,87.84,IBM_Global×Multiplier,,LEAN
IT,Brazil,2023,Man-in-the-Middle,unknown,pii_customer,933883,8900,12.3,10.18,41,3,4.22,100.0,10.18,IBM_Global×Multiplier,,LEAN
Education,UK,2019,Malware,vulnerability exploit,pii_customer,393748,3400,2.1,4.42,10,1,3.376,100.0,4.42,IBM_Global×Multiplier,,LEAN
Banking,Brazil,2020,DDoS,unknown,pii_customer,708549,8900,12.3,76.98,37,3,4.22,100.0,76.98,IBM_Global×Multiplier,,LEAN
Healthcare,Japan,2020,DDoS,unknown,pii_customer,136762,10700,19.2,73.24,41,3,8.44,100.0,73.24,IBM_Global×Multiplier,,LEAN
Telecommunications,Russia,2018,Malware,unknown,pii_customer,737958,45000,34.5,8.11,35,3,4.22,100.0,8.11,IBM_Global×Multiplier,,LEAN
Banking,Japan,2020,Man-in-the-Middle,vulnerability exploit,pii_customer,108886,8900,12.3,23.55,51,4,4.22,100.0,23.55,IBM_Global×Multiplier,,LEAN
Banking,Australia,2016,Phishing,vulnerability exploit,pii_customer,285311,8900,12.3,92.79,55,4,4.22,100.0,92.79,IBM_Global×Multiplier,,LEAN
Retail,USA,2021,Malware,vulnerability exploit,pii_customer,961868,23000,8.9,71.11,57,4,3.798,100.0,71.11,IBM_Global×Multiplier,,LEAN
Banking,Australia,2023,Man-in-the-Middle,unknown,pii_customer,471743,8900,12.3,57.34,29,3,4.22,100.0,57.34,IBM_Global×Multiplier,,LEAN
Government,UK,2024,Phishing,unknown,pii_customer,993903,2300,8.9,81.26,25,2,4.22,100.0,81.26,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2024,Ransomware,unknown,pii_customer,179156,45000,34.5,7.32,34,3,4.22,100.0,7.32,IBM_Global×Multiplier,,LEAN
Healthcare,Germany,2022,Man-in-the-Middle,vulnerability exploit,pii_customer,699129,10700,19.2,56.27,25,2,8.44,100.0,56.27,IBM_Global×Multiplier,,LEAN
IT,Russia,2021,Malware,unknown,pii_customer,920983,8900,12.3,83.76,24,2,4.22,100.0,83.76,IBM_Global×Multiplier,,LEAN
Banking,UK,2023,SQL Injection,vulnerability exploit,pii_customer,875790,8900,12.3,85.64,36,3,4.22,100.0,85.64,IBM_Global×Multiplier,,LEAN
Retail,Russia,2016,Malware,unknown,pii_customer,415274,23000,8.9,61.39,40,3,3.798,100.0,61.39,IBM_Global×Multiplier,,LEAN
Banking,Russia,2023,Ransomware,unknown,pii_customer,222293,8900,12.3,42.14,38,3,4.22,100.0,42.14,IBM_Global×Multiplier,,LEAN
Retail,France,2021,Man-in-the-Middle,vulnerability exploit,pii_customer,357092,23000,8.9,94.4,71,4,3.798,100.0,94.4,IBM_Global×Multiplier,,LEAN
Telecommunications,Australia,2021,Malware,unknown,pii_customer,708291,45000,34.5,84.68,54,4,4.22,100.0,84.68,IBM_Global×Multiplier,,LEAN
Banking,Russia,2024,Malware,unknown,pii_customer,517610,8900,12.3,93.33,35,3,4.22,100.0,93.33,IBM_Global×Multiplier,,LEAN
Government,Germany,2023,Malware,vulnerability exploit,pii_customer,368803,2300,8.9,70.46,23,2,4.22,100.0,70.46,IBM_Global×Multiplier,,LEAN
Healthcare,China,2023,Man-in-the-Middle,vulnerability exploit,pii_customer,421191,10700,19.2,48.71,62,4,8.44,100.0,48.71,IBM_Global×Multiplier,,LEAN
IT,India,2018,Phishing,vulnerability exploit,pii_customer,282139,8900,12.3,69.03,37,3,4.22,100.0,69.03,IBM_Global×Multiplier,,LEAN
IT,China,2018,Malware,unknown,pii_customer,117543,8900,12.3,49.19,22,2,4.22,100.0,49.19,IBM_Global×Multiplier,,LEAN
Government,France,2016,Phishing,unknown,pii_customer,536925,2300,8.9,27.2,62,4,4.22,100.0,27.2,IBM_Global×Multiplier,,LEAN
Retail,France,2023,Ransomware,vulnerability exploit,pii_customer,238068,23000,8.9,64.08,61,4,3.798,100.0,64.08,IBM_Global×Multiplier,,LEAN
Telecommunications,Japan,2022,Malware,unknown,pii_customer,39814,45000,34.5,38.46,32,3,4.22,100.0,38.46,IBM_Global×Multiplier,,LEAN
Government,India,2018,DDoS,unknown,pii_customer,268956,2300,8.9,80.89,47,4,4.22,100.0,80.89,IBM_Global×Multiplier,,LEAN
Education,France,2015,Malware,vulnerability exploit,pii_customer,424,3400,2.1,15.76,58,4,3.376,100.0,15.76,IBM_Global×Multiplier,,LEAN
Telecommunications,USA,2021,SQL Injection,vulnerability exploit,pii_customer,982969,45000,34.5,82.24,64,4,4.22,100.0,82.24,IBM_Global×Multiplier,,LEAN
Government,Germany,2021,Malware,unknown,pii_customer,219703,2300,8.9,82.72,33,3,4.22,100.0,82.72,IBM_Global×Multiplier,,LEAN
Retail,Japan,2016,Man-in-the-Middle,vulnerability exploit,pii_customer,530947,23000,8.9,18.96,12,1,3.798,100.0,18.96,IBM_Global×Multiplier,,LEAN
IT,UK,2017,SQL Injection,vulnerability exploit,pii_customer,576110,8900,12.3,53.39,37,3,4.22,100.0,53.39,IBM_Global×Multiplier,,LEAN
Government,UK,2017,Man-in-the-Middle,unknown,pii_customer,177154,2300,8.9,48.9,68,4,4.22,100.0,48.9,IBM_Global×Multiplier,,LEAN
Healthcare,France,2017,SQL Injection,unknown,pii_customer,212177,10700,19.2,60.77,2,1,8.44,100.0,60.77,IBM_Global×Multiplier,,LEAN
Banking,Germany,2021,DDoS,vulnerability exploit,pii_customer,8787,8900,12.3,91.24,55,4,4.22,100.0,91.24,IBM_Global×Multiplier,,LEAN
Education,USA,2015,Phishing,unknown,pii_customer,291727,3400,2.1,41.36,31,3,3.376,100.0,41.36,IBM_Global×Multiplier,,LEAN
IT,Germany,2022,DDoS,unknown,pii_customer,987652,8900,12.3,78.18,72,4,4.22,100.0,78.18,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2022,Ransomware,unknown,pii_customer,236284,45000,34.5,16.16,38,3,4.22,100.0,16.16,IBM_Global×Multiplier,,LEAN
Telecommunications,USA,2020,Man-in-the-Middle,unknown,pii_customer,209853,45000,34.5,15.63,1,1,4.22,100.0,15.63,IBM_Global×Multiplier,,LEAN
Retail,Australia,2020,DDoS,unknown,pii_customer,755621,23000,8.9,36.29,50,4,3.798,100.0,36.29,IBM_Global×Multiplier,,LEAN
Retail,France,2015,SQL Injection,vulnerability exploit,pii_customer,694844,23000,8.9,61.41,43,4,3.798,100.0,61.41,IBM_Global×Multiplier,,LEAN
Retail,France,2018,SQL Injection,vulnerability exploit,pii_customer,795831,23000,8.9,53.72,61,4,3.798,100.0,53.72,IBM_Global×Multiplier,,LEAN
Retail,Brazil,2020,DDoS,unknown,pii_customer,342253,23000,8.9,17.4,22,2,3.798,100.0,17.4,IBM_Global×Multiplier,,LEAN
Retail,USA,2016,Phishing,unknown,pii_customer,638693,23000,8.9,75.94,35,3,3.798,100.0,75.94,IBM_Global×Multiplier,,LEAN
Banking,USA,2018,Phishing,unknown,pii_customer,618616,8900,12.3,55.9,51,4,4.22,100.0,55.9,IBM_Global×Multiplier,,LEAN
Retail,Brazil,2023,SQL Injection,unknown,pii_customer,774426,23000,8.9,56.76,21,2,3.798,100.0,56.76,IBM_Global×Multiplier,,LEAN
Government,Australia,2023,DDoS,vulnerability exploit,pii_customer,900661,2300,8.9,76.25,64,4,4.22,100.0,76.25,IBM_Global×Multiplier,,LEAN
Telecommunications,India,2019,Phishing,vulnerability exploit,pii_customer,141627,45000,34.5,75.23,64,4,4.22,100.0,75.23,IBM_Global×Multiplier,,LEAN
IT,Germany,2024,Phishing,vulnerability exploit,pii_customer,845785,8900,12.3,3.93,69,4,4.22,100.0,3.93,IBM_Global×Multiplier,,LEAN
Retail,Australia,2015,Malware,unknown,pii_customer,120048,23000,8.9,99.41,12,1,3.798,100.0,99.41,IBM_Global×Multiplier,,LEAN
