Incident_ID,Date_Reported,Company_Name,Industry,Country,Attack_Type,Records_Compromised,Attack_Vector,Data_Type,Ransom_Amount_USD,Recovery_Time_Days,Financial_Impact_Million_USD,CISO_Present,Security_Budget_Million_USD,Employee_Count,Previous_Incidents,Patch_Status,MFA_Enabled,Security_Training_Hours,Incident_Severity,Attribution,Response_Time_Hours,Regulatory_Fine_Million_USD,Stock_Impact_Percent,Customer_Churn_Percent,Reputation_Score_Change,Year,Per_Record_Cost_USD,Baseline_Industry_Cost_Million_USD,Estimated_Financial_Impact_Million_USD,Baseline_Source_x,PerRecord_Source_x,Source_Tag,Baseline_Source_y,Baseline_Source,PerRecord_Source_y,PerRecord_Source
,,,Banking,Brazil,Phishing,191625,,,,,43.4,,,,,,,,65.0,,,,,,,2015,100.31243975865726,50.75,43.4,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Australia,Phishing,93185,,,,,93.32,,,,,,,,14.0,,,,,,,2024,100.31243975865726,3.8,93.32,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,India,Phishing,40718,,,,,35.6,,,,,,,,24.0,,,,,,,2019,100.31243975865726,7.42,35.6,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,China,Phishing,310574,,,,,42.73,,,,,,,,65.0,,,,,,,2015,100.31243975865726,54.44,42.73,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,India,DDoS,475719,,,,,73.37,,,,,,,,52.0,,,,,,,2024,100.31243975865726,3.8,73.37,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,UK,Malware,404060,,,,,73.18,,,,,,,,32.0,,,,,,,2018,100.31243975865726,3.54,73.18,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,China,Malware,132726,,,,,72.35,,,,,,,,55.0,,,,,,,2024,100.31243975865726,3.8,72.35,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,UK,DDoS,336376,,,,,87.68,,,,,,,,11.0,,,,,,,2016,100.31243975865726,50.75,87.68,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Australia,Malware,566437,,,,,67.16,,,,,,,,63.0,,,,,,,2022,100.31243975865726,7.42,67.16,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Russia,Man-in-the-Middle,313631,,,,,83.43,,,,,,,,16.0,,,,,,,2017,100.31243975865726,3.8,83.43,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,France,DDoS,996004,,,,,28.66,,,,,,,,28.0,,,,,,,2016,100.31243975865726,50.75,28.66,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,China,Phishing,871600,,,,,55.04,,,,,,,,29.0,,,,,,,2021,100.31243975865726,7.42,55.04,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,Brazil,DDoS,940656,,,,,43.51,,,,,,,,41.0,,,,,,,2015,100.31243975865726,53.3,43.51,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,USA,Ransomware,297209,,,,,20.73,,,,,,,,66.0,,,,,,,2015,100.31243975865726,51.230000000000004,20.73,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,UK,Phishing,28321,,,,,78.19,,,,,,,,63.0,,,,,,,2019,100.31243975865726,53.3,78.19,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Brazil,Phishing,456783,,,,,29.02,,,,,,,,10.0,,,,,,,2022,100.31243975865726,51.230000000000004,29.02,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Germany,Ransomware,933028,,,,,87.56,,,,,,,,25.0,,,,,,,2018,100.31243975865726,50.75,87.56,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Australia,Phishing,221512,,,,,24.65,,,,,,,,56.0,,,,,,,2023,100.31243975865726,51.230000000000004,24.65,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,France,Phishing,16585,,,,,17.88,,,,,,,,12.0,,,,,,,2017,100.31243975865726,50.75,17.88,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,USA,Ransomware,787752,,,,,21.01,,,,,,,,9.0,,,,,,,2022,100.31243975865726,3.8,21.01,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Russia,SQL Injection,662517,,,,,60.25,,,,,,,,40.0,,,,,,,2022,100.31243975865726,50.75,60.25,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Brazil,Malware,274509,,,,,6.63,,,,,,,,20.0,,,,,,,2018,100.31243975865726,3.8,6.63,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,France,Phishing,508649,,,,,5.8,,,,,,,,66.0,,,,,,,2024,100.31243975865726,54.44,5.8,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Brazil,DDoS,740257,,,,,70.26,,,,,,,,70.0,,,,,,,2021,100.31243975865726,53.3,70.26,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Australia,Malware,969504,,,,,62.08,,,,,,,,5.0,,,,,,,2024,100.31243975865726,7.42,62.08,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,Germany,Man-in-the-Middle,779494,,,,,90.2,,,,,,,,54.0,,,,,,,2016,100.31243975865726,7.42,90.2,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Japan,Malware,605166,,,,,44.17,,,,,,,,27.0,,,,,,,2019,100.31243975865726,50.75,44.17,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,France,Malware,274946,,,,,55.18,,,,,,,,66.0,,,,,,,2023,100.31243975865726,54.44,55.18,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Japan,Man-in-the-Middle,645097,,,,,41.32,,,,,,,,36.0,,,,,,,2019,100.31243975865726,50.75,41.32,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,UK,DDoS,157678,,,,,32.92,,,,,,,,68.0,,,,,,,2015,100.31243975865726,51.230000000000004,32.92,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Brazil,DDoS,157034,,,,,15.16,,,,,,,,69.0,,,,,,,2022,100.31243975865726,3.54,15.16,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,India,SQL Injection,550656,,,,,62.5,,,,,,,,4.0,,,,,,,2020,100.31243975865726,3.8,62.5,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,Australia,SQL Injection,634048,,,,,68.91,,,,,,,,66.0,,,,,,,2017,100.31243975865726,7.42,68.91,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,UK,DDoS,547495,,,,,81.26,,,,,,,,3.0,,,,,,,2023,100.31243975865726,50.75,81.26,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,UK,DDoS,487694,,,,,58.31,,,,,,,,41.0,,,,,,,2024,100.31243975865726,7.42,58.31,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,France,Man-in-the-Middle,427067,,,,,88.65,,,,,,,,42.0,,,,,,,2023,100.31243975865726,3.54,88.65,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Australia,Malware,954902,,,,,1.51,,,,,,,,55.0,,,,,,,2023,100.31243975865726,51.230000000000004,1.51,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,UK,Ransomware,128594,,,,,49.23,,,,,,,,53.0,,,,,,,2020,100.31243975865726,50.75,49.23,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Germany,Phishing,189430,,,,,84.53,,,,,,,,1.0,,,,,,,2024,100.31243975865726,7.42,84.53,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,France,DDoS,603327,,,,,90.63,,,,,,,,15.0,,,,,,,2021,100.31243975865726,7.42,90.63,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,UK,DDoS,276593,,,,,80.26,,,,,,,,36.0,,,,,,,2021,100.31243975865726,3.8,80.26,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Japan,Malware,975282,,,,,22.87,,,,,,,,49.0,,,,,,,2023,100.31243975865726,3.8,22.87,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,India,Ransomware,486810,,,,,23.79,,,,,,,,11.0,,,,,,,2018,100.31243975865726,3.54,23.79,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,Japan,Ransomware,969517,,,,,35.43,,,,,,,,25.0,,,,,,,2021,100.31243975865726,53.3,35.43,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Australia,Malware,151599,,,,,74.77,,,,,,,,18.0,,,,,,,2022,100.31243975865726,50.75,74.77,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Japan,SQL Injection,749545,,,,,66.66,,,,,,,,30.0,,,,,,,2022,100.31243975865726,53.3,66.66,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Brazil,Malware,71743,,,,,78.13,,,,,,,,35.0,,,,,,,2015,100.31243975865726,3.54,78.13,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Germany,Phishing,969684,,,,,11.39,,,,,,,,41.0,,,,,,,2018,100.31243975865726,50.75,11.39,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Germany,SQL Injection,842506,,,,,87.84,,,,,,,,19.0,,,,,,,2020,100.31243975865726,3.8,87.84,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,Brazil,Man-in-the-Middle,933883,,,,,10.18,,,,,,,,41.0,,,,,,,2023,100.31243975865726,53.3,10.18,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,UK,Malware,393748,,,,,4.42,,,,,,,,10.0,,,,,,,2019,100.31243975865726,3.8,4.42,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Brazil,DDoS,708549,,,,,76.98,,,,,,,,37.0,,,,,,,2020,100.31243975865726,50.75,76.98,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Japan,DDoS,136762,,,,,73.24,,,,,,,,41.0,,,,,,,2020,100.31243975865726,7.42,73.24,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Russia,Malware,737958,,,,,8.11,,,,,,,,35.0,,,,,,,2018,100.31243975865726,51.230000000000004,8.11,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Japan,Man-in-the-Middle,108886,,,,,23.55,,,,,,,,51.0,,,,,,,2020,100.31243975865726,50.75,23.55,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Australia,Phishing,285311,,,,,92.79,,,,,,,,55.0,,,,,,,2016,100.31243975865726,50.75,92.79,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,USA,Malware,961868,,,,,71.11,,,,,,,,57.0,,,,,,,2021,100.31243975865726,3.54,71.11,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Australia,Man-in-the-Middle,471743,,,,,57.34,,,,,,,,29.0,,,,,,,2023,100.31243975865726,50.75,57.34,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,UK,Phishing,993903,,,,,81.26,,,,,,,,25.0,,,,,,,2024,100.31243975865726,54.44,81.26,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,China,Ransomware,179156,,,,,7.32,,,,,,,,34.0,,,,,,,2024,100.31243975865726,51.230000000000004,7.32,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Germany,Man-in-the-Middle,699129,,,,,56.27,,,,,,,,25.0,,,,,,,2022,100.31243975865726,7.42,56.27,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,Russia,Malware,920983,,,,,83.76,,,,,,,,24.0,,,,,,,2021,100.31243975865726,53.3,83.76,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,UK,SQL Injection,875790,,,,,85.64,,,,,,,,36.0,,,,,,,2023,100.31243975865726,50.75,85.64,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Russia,Malware,415274,,,,,61.39,,,,,,,,40.0,,,,,,,2016,100.31243975865726,3.54,61.39,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Russia,Ransomware,222293,,,,,42.14,,,,,,,,38.0,,,,,,,2023,100.31243975865726,50.75,42.14,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,France,Man-in-the-Middle,357092,,,,,94.4,,,,,,,,71.0,,,,,,,2021,100.31243975865726,3.54,94.4,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Australia,Malware,708291,,,,,84.68,,,,,,,,54.0,,,,,,,2021,100.31243975865726,51.230000000000004,84.68,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Russia,Malware,517610,,,,,93.33,,,,,,,,35.0,,,,,,,2024,100.31243975865726,50.75,93.33,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Germany,Malware,368803,,,,,70.46,,,,,,,,23.0,,,,,,,2023,100.31243975865726,54.44,70.46,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,China,Man-in-the-Middle,421191,,,,,48.71,,,,,,,,62.0,,,,,,,2023,100.31243975865726,7.42,48.71,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,India,Phishing,282139,,,,,69.03,,,,,,,,37.0,,,,,,,2018,100.31243975865726,53.3,69.03,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,China,Malware,117543,,,,,49.19,,,,,,,,22.0,,,,,,,2018,100.31243975865726,53.3,49.19,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,France,Phishing,536925,,,,,27.2,,,,,,,,62.0,,,,,,,2016,100.31243975865726,54.44,27.2,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,France,Ransomware,238068,,,,,64.08,,,,,,,,61.0,,,,,,,2023,100.31243975865726,3.54,64.08,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Japan,Malware,39814,,,,,38.46,,,,,,,,32.0,,,,,,,2022,100.31243975865726,51.230000000000004,38.46,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,India,DDoS,268956,,,,,80.89,,,,,,,,47.0,,,,,,,2018,100.31243975865726,54.44,80.89,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,France,Malware,424,,,,,15.76,,,,,,,,58.0,,,,,,,2015,100.31243975865726,3.8,15.76,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,USA,SQL Injection,982969,,,,,82.24,,,,,,,,64.0,,,,,,,2021,100.31243975865726,51.230000000000004,82.24,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
